pincode,official_stop,our_closest_stop,distance_m,match_status,our_display_name
"600001","Parrys Corner","High Court Bus Stop","240.0","MATCHED","உயர் நீதிமன்றம், Netaji Subhash Chandra Bose Road, CMWSSB Division 60, Zone 5 Royapuram, Chennai, Tamil Nadu, 600001, India"
"600001","Mannady","High Court Bus Stop","833.9","MATCHED","உயர் நீதிமன்றம், Netaji Subhash Chandra Bose Road, CMWSSB Division 60, Zone 5 Royapuram, Chennai, Tamil Nadu, 600001, India"
"600001","Seven Wells","High Court Bus Stop","1492.2","MATCHED","உயர் நீதிமன்றம், Netaji Subhash Chandra Bose Road, CMWSSB Division 60, Zone 5 Royapuram, Chennai, Tamil Nadu, 600001, India"
"600002","Chintadripet","Ice House","3189.4","MATCHED","Ice House stop, Kamarajar Salai, Mattankuppam, CMWSSB Division 120, Zone 9 Teynampet, Chennai, Tamil Nadu, 600001, India"
"600002","Anna Salai LIC","","","OFF_NO_GEOCODE",""
"600003","Park Town","Park Town","0.0","MATCHED","Park Town, Zone 5 Royapuram, Chennai, Tamil Nadu, 600001, India"
"600003","Chennai Central","Ripon Building","228.8","MATCHED","Ripon Building, General Hospital Road, Periamet, Ward 58, Zone 5 Royapuram, Chennai, Tamil Nadu, 600001, India"
"600004","Mylapore Luz","Luz Corner","456.7","MATCHED","Luz Corner, Thiruvika Salai, Ward 124, Zone 9 Teynampet, Chennai, Tamil Nadu, 600001, India"
"600004","Mandaveli","Mandaveli Bus Depot","388.6","MATCHED","Mandaveli Bus Depot, Ward 126, Zone 9 Teynampet, Chennai, Tamil Nadu, 600001, India"
"600005","Triplicane","Chepauk","621.4","MATCHED","Chepauk, Victoria Hostel Road, Lock Nagar, CMWSSB Division 114, Zone 9 Teynampet, Chennai, Tamil Nadu, 600001, India"
"600005","Chepauk","Chepauk","0.0","MATCHED","Chepauk, Victoria Hostel Road, Lock Nagar, CMWSSB Division 114, Zone 9 Teynampet, Chennai, Tamil Nadu, 600001, India"
"600006","Thousand Lights","Thousand Lights","0.0","MATCHED","Thousand Lights, Zone 9 Teynampet, Chennai, Tamil Nadu, 600001, India"
"600006","Greams Road","Thousand Lights","171.9","MATCHED","Thousand Lights, Zone 9 Teynampet, Chennai, Tamil Nadu, 600001, India"
"600007","Vepery","Doveton","565.4","MATCHED","Doveton, CMWSSB Division 58, Zone 5 Royapuram, Chennai, Tamil Nadu, 600001, India"
"600007","Vepery Bus Stop","","","OFF_NO_GEOCODE",""
"600008","Egmore Bus Stand","","","OFF_NO_GEOCODE",""
"600008","Egmore Railway","Chetpet Bus Stop","2166.8","MATCHED","Chetpet, Mayor Ramanathan Road (Spur Tank Road), CMWSSB Division 107, Zone 8 Anna Nagar, Chennai, Tamil Nadu, 600001, India"
"600009","Fort St. George","Royapettah Hospital","3558.5","MATCHED","Royapettah Hospital, Westcott Road, Ward 115, Zone 9 Teynampet, Chennai, Tamil Nadu, 600001, India"
"600009","High Court / Marina","","","OFF_NO_GEOCODE",""
"600010","Kilpauk","Abirami Mega Mall","1152.1","MATCHED","abirami mega mall, Purasawalkam High Road, Kellys, Ward 103, Zone 8 Anna Nagar, Chennai, Tamil Nadu, 600001, India"
"600010","Kilpauk Medical College","Abirami Mega Mall","1008.3","MATCHED","abirami mega mall, Purasawalkam High Road, Kellys, Ward 103, Zone 8 Anna Nagar, Chennai, Tamil Nadu, 600001, India"
"600011","Perambur Bus Stop","Perambur Bus Stand","0.0","MATCHED","Perambur Railway Station Bus Stand, Perambur High Road, CMWSSB Division 71, Ward 71, Zone 6 Thiru. Vi. Ka. Nagar, Chennai, Tamil Nadu, 600001, India"
"600011","Perambur High Road","Perambur Bus Stand","302.0","MATCHED","Perambur Railway Station Bus Stand, Perambur High Road, CMWSSB Division 71, Ward 71, Zone 6 Thiru. Vi. Ka. Nagar, Chennai, Tamil Nadu, 600001, India"
"600012","Perambur Barracks","Gill Nagar","5382.2","MATCHED","Gill Nagar Park, Ward 109, Zone 9 Teynampet, Chennai, Tamil Nadu, 600094, India"
"600012","Pulianthope","Gill Nagar","6213.9","MATCHED","Gill Nagar Park, Ward 109, Zone 9 Teynampet, Chennai, Tamil Nadu, 600094, India"
"600013","Royapuram Market","","","OFF_NO_GEOCODE",""
"600013","Royapuram","Royapuram Bridge","308.4","MATCHED","Royapuram Bridge, Ward 52, Zone 5 Royapuram, Chennai, Tamil Nadu, 600001, India"
"600014","Royapettah","Gopalapuram","893.1","MATCHED","Gopalapuram, Zone 9 Teynampet, Chennai, Tamil Nadu, 600086, India"
"600014","Royapettah High Road","Gopalapuram","1021.5","MATCHED","Gopalapuram, Zone 9 Teynampet, Chennai, Tamil Nadu, 600086, India"
"600015","Saidapet Bus Stand","","","OFF_NO_GEOCODE",""
"600016","St. Thomas Mount","Butt Road","1474.4","MATCHED","Butt Road, CMWSSB Division 201, St. Thomas Mount Cantonment, Alandur, Chennai, Tamil Nadu, 600016, India"
"600016","Alandur","Alandur","0.0","MATCHED","Alandur, Chennai, Tamil Nadu, India"
"600017","T. Nagar","T. Nagar Bus Stand","581.1","MATCHED","T.Nagar Bus Stand, South Usman Road, Kannammapet, CMWSSB Division 141, Zone 10 Kodambakkam, Chennai, Tamil Nadu, 600001, India"
"600017","Pondy Bazaar","","","OFF_NO_GEOCODE",""
"600018","Teynampet","Teynampet","0.0","MATCHED","Zone 9 Teynampet, Chennai, Tamil Nadu, 600001, India"
"600018","Abiramapuram","Eldams Road","932.6","MATCHED","Eldams Road, Seethammal Colony, Ward 118, Zone 9 Teynampet, Chennai, Tamil Nadu, 600001, India"
"600020","Adyar Bus Stand","Adyar Signal","423.8","MATCHED","Adyar Signal, Adyar Flyover, Arunachalapuram, CMWSSB Division 176, Zone 13 Adyar, Chennai, Tamil Nadu, 600001, India"
"600020","Kasturibai Nagar","Adyar Depot","788.0","MATCHED","Adyar Depot, Dr Muthulakshmi Salai, Bakthavatchalam Nagar, Ward 175, Zone 13 Adyar, Chennai, Tamil Nadu, 600001, India"
"600021","Washermanpet","Washermanpet","0.0","MATCHED","Washermanpet, Dhakshina Murthy Koil Street, Moolakothalam, Ward 52, Zone 5 Royapuram, Chennai, Tamil Nadu, 600001, India"
"600021","Foreshore Estate","Washermanpet","9357.0","MATCHED","Washermanpet, Dhakshina Murthy Koil Street, Moolakothalam, Ward 52, Zone 5 Royapuram, Chennai, Tamil Nadu, 600001, India"
"600022","Raj Bhavan","Raj Bhavan","0.0","MATCHED","Raj Bhavan, Zone 13 Adyar, Chennai, Tamil Nadu, 600001, India"
"600022","Anna Salai","Anna University","4317.8","MATCHED","Anna University, Sardar Patel Road, Srinagar Colony, Ward 171, Zone 13 Adyar, Chennai, Tamil Nadu, 600001, India"
"600023","Ayanavaram","Ayanavaram","0.0","MATCHED","Ayanavaram, Zone 8 Anna Nagar, Chennai, Tamil Nadu, 600001, India"
"600024","Kodambakkam","Kodambakkam","0.0","MATCHED","Zone 10 Kodambakkam, Chennai, Tamil Nadu, 600001, India"
"600025","Guindy","Velachery","3358.1","MATCHED","Velachery, Chennai, Tamil Nadu, 600042, India"
"600025","Race Course","Velachery","3270.9","MATCHED","Velachery, Chennai, Tamil Nadu, 600042, India"
"600026","Vadapalani Bus Stand","","","OFF_NO_GEOCODE",""
"600026","Vadapalani Arangam","","","OFF_NO_GEOCODE",""
"600028","R.A.Puram","R.A. Puram","0.0","MATCHED","R.A. Puram, RA Puram 2nd Main Road, Ward 123, Zone 9 Teynampet, Chennai, Tamil Nadu, 600001, India"
"600028","Boat Club","R.A. Puram","464.0","MATCHED","R.A. Puram, RA Puram 2nd Main Road, Ward 123, Zone 9 Teynampet, Chennai, Tamil Nadu, 600001, India"
"600029","Aminjikarai","Royapettah","5055.7","MATCHED","Royapettah, Zone 9 Teynampet, Chennai, Tamil Nadu, 600014, India"
"600030","Santhome","Nungambakkam","5236.6","MATCHED","Nungambakkam, Zone 9 Teynampet, Chennai, Tamil Nadu, 600001, India"
"600030","Shenoy Nagar","Aminjikarai","904.9","MATCHED","Aminjikarai, Zone 8 Anna Nagar, Chennai, Tamil Nadu, 600001, India"
"600031","Chetpet","Shanthi Colony","2846.9","MATCHED","Shanthi Bavan, Cathedral Road, Ellaiamman Colony, Ward 118, Zone 9 Teynampet, Chennai, Tamil Nadu, 600001, India"
"600031","Chetpet Bus Stop","Shanthi Colony","2632.2","MATCHED","Shanthi Bavan, Cathedral Road, Ellaiamman Colony, Ward 118, Zone 9 Teynampet, Chennai, Tamil Nadu, 600001, India"
"600032","Ekkaduthangal","","","OFF_NO_GEOCODE",""
"600032","Guindy","Koyambedu","6581.0","MATCHED","KOYAMBEDU, Jawaharlal Nehru Road (100 Feet Road), Ward 127, Zone 10 Kodambakkam, Chennai, Tamil Nadu, 600001, India"
"600033","Mambalam","Korattur","8526.1","MATCHED","Korattur Sub Station, Chennai - Tiruttani - Renigunta Road, Ward 84, Zone 7 Ambattur, Ambattur, Thiruvallur, Tamil Nadu, 600050, India"
"600033","West Mambalam","Korattur","8054.2","MATCHED","Korattur Sub Station, Chennai - Tiruttani - Renigunta Road, Ward 84, Zone 7 Ambattur, Ambattur, Thiruvallur, Tamil Nadu, 600050, India"
"600034","Nungambakkam","Tambaram","16415.7","MATCHED","Velachery Tambaram Road, Jayachandran Nagar, Medavakkam, Sholinganallur, Chennai, Tamil Nadu, 600100, India"
"600034","Loyola College","Tambaram","16205.0","MATCHED","Velachery Tambaram Road, Jayachandran Nagar, Medavakkam, Sholinganallur, Chennai, Tamil Nadu, 600100, India"
"600035","Nandanam","Nanganallur","8065.7","MATCHED","Nanganallur, Ward 167, Zone 12 Alandur, Alandur, Chennai, Tamil Nadu, 600061, India"
"600036","IIT Madras","High Court","12014.3","MATCHED","High Court, Esplanade, Evening Bazaar, CMWSSB Division 59, Zone 5 Royapuram, Chennai, Tamil Nadu, 600001, India"
"600036","Taramani","High Court","12364.1","MATCHED","High Court, Esplanade, Evening Bazaar, CMWSSB Division 59, Zone 5 Royapuram, Chennai, Tamil Nadu, 600001, India"
"600038","ICF Colony","Villivakkam","1955.8","MATCHED","Villivakkam, Ward 65, Zone 6 Thiru. Vi. Ka. Nagar, Chennai, Tamil Nadu, 600001, India"
"600039","Vyasarpadi","Padi","6998.4","MATCHED","Padi Flyover, Malar Colony, CMWSSB Division 95, Zone 8 Anna Nagar, Chennai, Ambattur, Chennai, Tamil Nadu, 600001, India"
"600040","Anna Nagar West Depot","Mogappair","743.7","MATCHED","Thirumangalam – Mogappair Road, Ward 99, Zone 8 Anna Nagar, Chennai, Tamil Nadu, 600001, India"
"600040","Tower Park","Mogappair","1700.3","MATCHED","Thirumangalam – Mogappair Road, Ward 99, Zone 8 Anna Nagar, Chennai, Tamil Nadu, 600001, India"
"600041","Thiruvanmiyur","Madhavaram","18234.6","MATCHED","Madhavaram Botanical Garden, CMWSSB Division 28, Zone 3 Madhavaram, Chennai, Mathavaram, Thiruvallur, Tamil Nadu, 600051, India"
"600041","Besant Nagar","Madhavaram","16779.4","MATCHED","Madhavaram Botanical Garden, CMWSSB Division 28, Zone 3 Madhavaram, Chennai, Mathavaram, Thiruvallur, Tamil Nadu, 600051, India"
"600042","Velachery Bus Terminus","Vyasarpadi","16160.0","MATCHED","Vyasarpadi, Zone 4 Tondiarpet, Chennai, Tamil Nadu, 600001, India"
"600043","Pallavaram","Manali","22003.6","MATCHED","Manali Road, Ward 41, Zone 4 Tondiarpet, Chennai, Tamil Nadu, 600001, India"
"600043","Chromepet","Manali","23455.9","MATCHED","Manali Road, Ward 41, Zone 4 Tondiarpet, Chennai, Tamil Nadu, 600001, India"
"600044","Chromepet","Avadi","9019.9","MATCHED","Mount - Poonamallee - Avadi Road, Ward 150, Zone 11 Valasaravakkam, Ayappanthangal, Alandur, Chennai, Tamil Nadu, 602101, India"
"600044","Tambaram","Avadi","14691.9","MATCHED","Mount - Poonamallee - Avadi Road, Ward 150, Zone 11 Valasaravakkam, Ayappanthangal, Alandur, Chennai, Tamil Nadu, 602101, India"
"600045","Tambaram Bus Stand","","","OFF_NO_GEOCODE",""
"600050","Mogappair West","Sholinganallur","18989.2","MATCHED","Sholinganallur, Chennai, Tamil Nadu, India"
"600050","Mogappair East","","","OFF_NO_GEOCODE",""
"600053","Ambattur Bus Terminus","Chromepet","16059.3","MATCHED","Adyar Anand Bhavan, Grand Southern Trunk Road, Pallavaram, Chennai, Pallavaram, Chengalpattu, Tamil Nadu, 600044, India"
"600053","Ambattur Bazaar","","","OFF_NO_GEOCODE",""
"600054","Avadi","Adambakkam","10178.1","MATCHED","Adambakkam, Zone 13 Adyar, Chennai, Tamil Nadu, 600088, India"
"600054","HVF","","","OFF_NO_GEOCODE",""
"600056","Poonamallee","Perungudi","12359.0","MATCHED","Zone 14 Perungudi, Sholinganallur, Chennai, Tamil Nadu, India"
"600062","Maduravoyal","","","NO_OUR_GEOCODE",""
"600062","Vanagaram","","","OFF_NO_GEOCODE",""
"600073","Kolathur","","","NO_OUR_GEOCODE",""
"600077","Pammal","Koyambedu","3756.9","MATCHED","KOYAMBEDU, Jawaharlal Nehru Road (100 Feet Road), Ward 127, Zone 10 Kodambakkam, Chennai, Tamil Nadu, 600001, India"
"600077","Pozhichalur","Koyambedu","10993.0","MATCHED","KOYAMBEDU, Jawaharlal Nehru Road (100 Feet Road), Ward 127, Zone 10 Kodambakkam, Chennai, Tamil Nadu, 600001, India"
"600078","K K Nagar","K.K. Nagar","0.0","MATCHED","K.K.Nagar, Zone 10 Kodambakkam, Chennai, Tamil Nadu, 600001, India"
"600079","Sowcarpet","","","NO_OUR_GEOCODE",""
"600079","Mint Building","","","OFF_NO_GEOCODE",""
"600081","Tondiarpet Bus Stand","","","OFF_NO_GEOCODE",""
"600082","Jawahar Nagar","","","NO_OUR_GEOCODE",""
"600082","G K M Colony","","","OFF_NO_GEOCODE",""
"600083","Jafferkhanpet","","","NO_OUR_GEOCODE",""
"600083","Kumaran Nagar","","","NO_OUR_GEOCODE",""
"600084","Purasawalkam","","","NO_OUR_GEOCODE",""
"600084","Periamet","","","NO_OUR_GEOCODE",""
"600085","Kotturpuram","Kotturpuram","0.0","MATCHED","Kotturpuram, Zone 13 Adyar, Chennai, Tamil Nadu, 600085, India"
"600086","Gopalapuram","Gopalapuram","0.0","MATCHED","Gopalapuram, Zone 9 Teynampet, Chennai, Tamil Nadu, 600086, India"
"600087","Alwar Thirunagar","","","OFF_NO_GEOCODE",""
"600088","Adambakkam","Adambakkam","0.0","MATCHED","Adambakkam, Zone 13 Adyar, Chennai, Tamil Nadu, 600088, India"
"600090","Besant Nagar","Besant Nagar","0.0","MATCHED","Besant Nagar, Zone 13 Adyar, Chennai, Tamil Nadu, 600001, India"
"600090","Elliot's Beach","Besant Nagar","418.4","MATCHED","Besant Nagar, Zone 13 Adyar, Chennai, Tamil Nadu, 600001, India"
"600092","Koyambedu Bus Terminus","","","OFF_NO_GEOCODE",""
"600092","Koyambedu Market","MGR Nagar","11795.3","MATCHED","MGR Nagar, Ward 183, Zone 14 Perungudi, Sholinganallur, Chennai, Tamil Nadu, 600041, India"
"600093","Saligramam","Thiruvanmiyur","10763.1","MATCHED","Thiruvanmiyur, Zone 13 Adyar, Chennai, Tamil Nadu, 600041, India"
"600093","Vadapalani","Thiruvanmiyur","9190.7","MATCHED","Thiruvanmiyur, Zone 13 Adyar, Chennai, Tamil Nadu, 600041, India"
"600094","Choolaimedu","Perungudi","10307.6","MATCHED","Zone 14 Perungudi, Sholinganallur, Chennai, Tamil Nadu, India"
"600100","Anna Nagar East","Puzhal","7179.6","MATCHED","Puzhal, Exit (Puzhal) Chennai Bypass, Ward 25, Zone 3 Madhavaram, Mathavaram, Thiruvallur, Tamil Nadu, 600110, India"
"600101","Anna Nagar West","Kolathur","2870.6","MATCHED","Kolathur, Ward 65, Zone 6 Thiru. Vi. Ka. Nagar, Chennai, Tamil Nadu, 600001, India"
"600102","Anna Nagar East","Ambattur","7217.7","MATCHED","Cars India Maruti Suzuki Showroom, Arcot Road, CMWSSB Division 152, Zone 11 Valasaravakkam, Chennai, Ambattur, Thiruvallur, Tamil Nadu, 600116, India"
"600104","High Court","Thirumullaivoyal","17345.0","MATCHED","Thirumullaivoyal PHC, Chennai - Tiruttani - Renigunta Road, Ward 81, Zone 7 Ambattur, Poonamallee, Thiruvallur, Tamil Nadu, 600062, India"
"600104","Fort St. George","Thirumullaivoyal","17561.2","MATCHED","Thirumullaivoyal PHC, Chennai - Tiruttani - Renigunta Road, Ward 81, Zone 7 Ambattur, Poonamallee, Thiruvallur, Tamil Nadu, 600062, India"
"600106","Arumbakkam","Thiruvanmiyur","11574.7","MATCHED","Thiruvanmiyur, Zone 13 Adyar, Chennai, Tamil Nadu, 600041, India"
"600106","D.G. Vaishnav College","","","OFF_NO_GEOCODE",""
"600107","Koyambedu","Tirusulam","10697.9","MATCHED","Tirusulam, Grand Southern Trunk Road, CMWSSB Division 201, St. Thomas Mount Cantonment, Zone 12 Alandur, St.Thomas Mount-Pallavaram Cantonment Board, Alandur, Chennai, Tamil Nadu, 600027, India"
"600107","Nerkundram","Tirusulam","9653.4","MATCHED","Tirusulam, Grand Southern Trunk Road, CMWSSB Division 201, St. Thomas Mount Cantonment, Zone 12 Alandur, St.Thomas Mount-Pallavaram Cantonment Board, Alandur, Chennai, Tamil Nadu, 600027, India"
"600108","Broadway","Sembakkam","23671.6","MATCHED","Medavakkam - Mambakkam - Sembakkam Road, Skylab Avenue, Sithalapakkam, Sholinganallur, Chennai, Tamil Nadu, 600100, India"
"600108","Parrys Corner","Sembakkam","23396.5","MATCHED","Medavakkam - Mambakkam - Sembakkam Road, Skylab Avenue, Sithalapakkam, Sholinganallur, Chennai, Tamil Nadu, 600100, India"
"600112","Choolai","Poonamallee","6111.6","MATCHED","EVR Periyar Salai, Ward 105, Zone 8 Anna Nagar, Chennai, Tamil Nadu, 600001, India"
"600113","Tidel Park","Vandalur","4970.0","MATCHED","Velachery Main Road, CMWSSB Division 188, Zone 14 Perungudi, Sholinganallur, Chennai, Tamil Nadu, 601100, India"
"600113","TTTI Taramani","","","OFF_NO_GEOCODE",""
"600118","Kodungaiyur","Navalur","32102.4","MATCHED","Navalur, Rajiv Gandhi Salai, Navalur, Tiruporur, Chengalpattu, Tamil Nadu, 603103, India"
"600118","Erukkancheri","Navalur","30756.0","MATCHED","Navalur, Rajiv Gandhi Salai, Navalur, Tiruporur, Chengalpattu, Tamil Nadu, 603103, India"
"600119","Sholinganallur","Sholinganallur","0.0","MATCHED","Sholinganallur, Chennai, Tamil Nadu, India"
"600119","Semmencherry","","","OFF_NO_GEOCODE",""
"600120","Nandiambakkam","","","OFF_NO_GEOCODE",""
"600120","Minjur","Thoraipakkam","37685.3","MATCHED","Pallavaram - Thoraipakkam Road, Ward 189, Zone 14 Perungudi, Sholinganallur, Chennai, Tamil Nadu, 600096, India"
"600122","Mangadu","Palavakkam","15638.5","MATCHED","Palavakkam, Zone 14 Perungudi, Sholinganallur, Chennai, Tamil Nadu, 600041, India"
"600122","Kundrathur","","","OFF_NO_GEOCODE",""
"600126","Thalambur","ECR Road","15844.5","MATCHED","Thiruvanmiyur ECR Moffusil Bus stop, East Coast Road, PTC Colony, CMWSSB Division 182, Zone 13 Adyar, Chennai, Tamil Nadu, 600041, India"
"600126","Navalur Junction","","","OFF_NO_GEOCODE",""
"600130","Kelambakkam","Vengaivasal","13201.6","MATCHED","Mambakkam - Vengaivasal Road, Noothanchery, Tambaram, Chengalpattu, Tamil Nadu, 600126, India"
"600130","OMR feeder","","","OFF_NO_GEOCODE",""